Country,MarketSegment,ArrivalDateMonth,DepositType,CustomerType,LeadTime,ArrivalDateYear,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,RequiredCarParkingSpaces,IsCanceled
CHE,Online TA,August,No Deposit     ,Transient,10,2017,34,26,1,0
NLD,Online TA,August,No Deposit     ,Transient,10,2017,35,31,0,0
PRT,Direct,August,No Deposit     ,Transient,277,2017,34,26,0,0
ESP,Online TA,August,No Deposit     ,Transient,5,2017,34,26,1,0
CN,Offline TA/TO,August,No Deposit     ,Transient,217,2017,35,29,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,115,2017,35,28,1,0
ESP,Direct,August,No Deposit     ,Transient,1,2017,35,31,1,0
PRT,Online TA,August,No Deposit     ,Transient,142,2017,34,26,0,0
PRT,Direct,August,No Deposit     ,Transient,228,2017,35,30,0,0
PRT,Online TA,August,No Deposit     ,Transient,0,2017,35,28,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,142,2017,34,26,0,0
CN,Offline TA/TO,August,No Deposit     ,Transient,75,2017,35,30,1,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,184,2017,34,26,1,0
ESP,Online TA,August,No Deposit     ,Transient,30,2017,35,29,1,0
PRT,Direct,August,No Deposit     ,Transient,236,2017,34,26,0,0
ESP,Online TA,August,No Deposit     ,Transient,37,2017,35,28,1,0
PRT,Online TA,August,No Deposit     ,Transient,4,2017,35,29,1,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,115,2017,35,28,0,0
NLD,Online TA,August,No Deposit     ,Transient,40,2017,35,31,0,0
GBR,Online TA,August,No Deposit     ,Transient,6,2017,35,29,0,0
BEL,Offline TA/TO,August,No Deposit     ,Transient,26,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,162,2017,33,19,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,142,2017,34,26,0,0
CN,Offline TA/TO,August,No Deposit     ,Transient,217,2017,35,29,0,0
PRT,Online TA,August,No Deposit     ,Transient,140,2017,35,28,1,0
ESP,Online TA,August,No Deposit     ,Transient,128,2017,35,28,0,0
ITA,Direct,August,No Deposit     ,Transient,0,2017,35,31,1,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,184,2017,34,26,1,0
TUR,Online TA,August,No Deposit     ,Transient,30,2017,35,31,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,222,2017,34,24,0,0
SWE,Online TA,August,No Deposit     ,Transient,82,2017,35,29,0,0
MAR,Online TA,August,No Deposit     ,Transient,21,2017,34,25,1,0
BRA,Online TA,August,No Deposit     ,Transient,19,2017,35,30,0,0
BRA,Online TA,August,No Deposit     ,Transient,19,2017,35,30,0,0
FRA,Online TA,August,No Deposit     ,Transient,190,2017,34,22,0,0
ESP,Online TA,August,No Deposit     ,Transient,31,2017,35,28,1,0
PRT,Online TA,August,No Deposit     ,Transient,238,2017,34,25,0,0
PRT,Direct,August,No Deposit     ,Transient,3,2017,35,30,0,0
ESP,Direct,August,No Deposit     ,Transient,37,2017,34,26,1,0
PRT,Direct,August,No Deposit     ,Transient,3,2017,34,26,1,0
USA,Online TA,August,No Deposit     ,Transient,21,2017,35,30,0,0
CN,Online TA,August,No Deposit     ,Transient,0,2017,35,30,0,0
IRL,Online TA,August,No Deposit     ,Transient,42,2017,34,23,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,169,2017,34,25,0,0
PRT,Online TA,August,No Deposit     ,Transient,172,2017,34,25,0,0
RUS,Online TA,August,No Deposit     ,Transient,23,2017,35,31,0,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,35,29,0,0
PRT,Online TA,August,No Deposit     ,Transient,4,2017,34,25,0,0
PRT,Direct,August,No Deposit     ,Transient,8,2017,35,30,1,0
ESP,Online TA,August,No Deposit     ,Transient,1,2017,35,28,0,0
PRT,Complementary,August,No Deposit     ,Transient,1,2017,35,31,0,0
GBR,Online TA,August,No Deposit     ,Transient,128,2017,34,25,0,0
CHE,Direct,August,No Deposit     ,Transient,50,2017,34,22,1,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,108,2017,34,22,0,0
GBR,Direct,August,No Deposit     ,Transient,43,2017,35,30,0,0
PRT,Offline TA/TO,August,No Deposit     ,Group,29,2017,35,31,1,0
PRT,Online TA,August,No Deposit     ,Transient,17,2017,35,28,0,0
CHE,Online TA,August,No Deposit     ,Transient-Party,56,2017,35,27,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,162,2017,34,24,1,0
ESP,Online TA,August,No Deposit     ,Transient,56,2017,35,28,1,0
CHE,Online TA,August,No Deposit     ,Transient-Party,56,2017,35,27,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,112,2017,34,24,0,0
PRT,Direct,August,No Deposit     ,Transient,34,2017,34,24,1,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,35,30,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,123,2017,35,27,0,0
CN,Offline TA/TO,August,No Deposit     ,Transient,229,2017,35,27,0,0
PRT,Direct,August,No Deposit     ,Transient-Party,24,2017,35,31,0,1
ESP,Offline TA/TO,August,No Deposit     ,Transient,8,2017,35,30,0,0
CN,Offline TA/TO,August,No Deposit     ,Transient,185,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient-Party,28,2017,35,28,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,176,2017,34,24,0,0
CHE,Online TA,August,No Deposit     ,Transient-Party,56,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,66,2017,34,24,0,0
PRT,Direct,August,No Deposit     ,Transient-Party,24,2017,35,31,0,1
PRT,Direct,August,No Deposit     ,Transient,12,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,407,2017,34,24,0,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,35,30,0,0
PRT,Direct,August,No Deposit     ,Transient,34,2017,34,24,0,0
EST,Direct,August,No Deposit     ,Transient,211,2017,34,22,0,0
IRL,Offline TA/TO,August,No Deposit     ,Transient,148,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,308,2017,34,24,0,0
PRT,Online TA,August,No Deposit     ,Transient,7,2017,34,25,0,0
ESP,Online TA,August,No Deposit     ,Transient,59,2017,34,26,0,0
CHE,Online TA,August,No Deposit     ,Transient-Party,56,2017,35,27,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,269,2017,34,24,0,0
PRT,Direct,August,No Deposit     ,Transient,4,2017,35,27,0,0
PRT,Direct,August,No Deposit     ,Transient,81,2017,35,27,1,0
GBR,Offline TA/TO,August,No Deposit     ,Group,308,2017,34,24,0,0
ESP,Online TA,August,No Deposit     ,Transient,59,2017,34,26,0,0
RUS,Online TA,August,No Deposit     ,Transient,26,2017,35,27,0,0
NLD,Online TA,August,No Deposit     ,Transient,5,2017,35,30,0,0
PRT,Online TA,August,No Deposit     ,Transient,155,2017,34,24,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,112,2017,34,24,0,0
GBR,Online TA,August,No Deposit     ,Transient,3,2017,35,28,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,191,2017,34,24,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,99,2017,34,24,0,0
LUX,Online TA,August,No Deposit     ,Transient-Party,28,2017,35,28,1,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,162,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,176,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,14,2017,34,24,0,0
ITA,Direct,August,No Deposit     ,Transient,172,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,407,2017,34,24,0,0
PRT,Online TA,August,No Deposit     ,Transient,155,2017,34,24,1,0
GBR,Offline TA/TO,August,No Deposit     ,Group,14,2017,34,24,0,0
PRT,Online TA,August,No Deposit     ,Transient,76,2017,34,23,0,0
ARG,Online TA,August,No Deposit     ,Transient,191,2017,33,16,0,0
POL,Direct,August,No Deposit     ,Transient,268,2017,34,20,0,0
IRL,Online TA,August,No Deposit     ,Transient,165,2017,34,20,0,0
GBR,Online TA,August,No Deposit     ,Transient,69,2017,35,27,0,0
BEL,Online TA,August,No Deposit     ,Transient,28,2017,35,27,1,0
PRT,Direct,August,No Deposit     ,Transient,26,2017,34,25,0,0
IRL,Online TA,August,No Deposit     ,Transient-Party,228,2017,34,23,0,0
BRA,Online TA,August,No Deposit     ,Transient,40,2017,35,28,0,0
BEL,Offline TA/TO,August,No Deposit     ,Transient,23,2017,34,23,0,0
CN,Online TA,August,No Deposit     ,Transient,163,2017,35,27,1,0
PRT,Online TA,August,No Deposit     ,Transient,6,2017,35,27,0,0
ESP,Online TA,August,No Deposit     ,Transient,41,2017,34,26,1,0
CN,Online TA,August,No Deposit     ,Transient,73,2017,34,26,0,0
PRT,Direct,August,No Deposit     ,Transient,1,2017,35,29,0,0
PRT,Online TA,August,No Deposit     ,Transient,202,2017,34,21,1,0
BEL,Offline TA/TO,August,No Deposit     ,Transient,47,2017,34,23,0,0
PRT,Online TA,August,No Deposit     ,Transient,0,2017,35,30,0,0
GBR,Online TA,August,No Deposit     ,Transient,31,2017,34,23,0,0
IRL,Online TA,August,No Deposit     ,Transient-Party,228,2017,34,23,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,106,2017,34,23,0,0
PRT,Online TA,August,No Deposit     ,Transient,64,2017,35,28,0,0
USA,Online TA,August,No Deposit     ,Transient,125,2017,35,28,0,0
ESP,Online TA,August,No Deposit     ,Transient,85,2017,35,27,1,0
USA,Online TA,August,No Deposit     ,Transient,125,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,155,2017,34,25,0,0
PRT,Direct,August,No Deposit     ,Transient,26,2017,34,24,0,0
PRT,Online TA,August,No Deposit     ,Transient,10,2017,34,23,0,0
PRT,Direct,August,No Deposit     ,Transient,184,2017,34,20,0,0
ESP,Direct,August,No Deposit     ,Transient,250,2017,34,23,1,0
USA,Direct,August,No Deposit     ,Transient,92,2017,34,23,0,0
PRT,Online TA,August,No Deposit     ,Transient,126,2017,34,24,0,0
ESP,Online TA,August,No Deposit     ,Transient,204,2017,34,26,0,0
PRT,Direct,August,No Deposit     ,Transient,82,2017,33,15,1,0
HRV,Online TA,August,No Deposit     ,Transient,0,2017,35,27,1,0
ESP,Online TA,August,No Deposit     ,Transient,23,2017,34,26,0,0
CHE,Direct,August,No Deposit     ,Transient,0,2017,35,28,1,0
ESP,Online TA,August,No Deposit     ,Transient-Party,204,2017,34,26,0,0
PRT,Offline TA/TO,August,No Deposit     ,Contract,148,2017,35,29,0,1
PRT,Online TA,August,No Deposit     ,Transient,9,2017,34,22,0,0
PRT,Complementary,August,No Deposit     ,Transient,2,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,35,2017,35,29,0,1
PRT,Online TA,August,No Deposit     ,Transient,34,2017,34,22,0,0
GBR,Online TA,August,No Deposit     ,Transient,34,2017,34,23,0,0
ESP,Online TA,August,No Deposit     ,Transient,21,2017,34,25,0,0
PRT,Direct,August,No Deposit     ,Transient,22,2017,34,25,1,0
PRT,Direct,August,No Deposit     ,Transient,184,2017,34,20,0,0
ESP,Online TA,August,No Deposit     ,Transient-Party,204,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,191,2017,34,20,0,0
PRT,Direct,August,No Deposit     ,Transient,184,2017,34,20,0,0
CHL,Online TA,August,No Deposit     ,Transient,39,2017,34,26,0,0
PRT,Direct,August,No Deposit     ,Transient,225,2017,34,22,0,0
ITA,Offline TA/TO,August,No Deposit     ,Transient-Party,220,2017,35,27,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,220,2017,35,27,0,0
CHE,Direct,August,No Deposit     ,Transient,0,2017,35,27,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,154,2017,34,21,0,0
PRT,Direct,August,No Deposit     ,Transient,33,2017,34,21,0,0
PRT,Online TA,August,No Deposit     ,Transient,140,2017,34,21,0,0
ITA,Offline TA/TO,August,No Deposit     ,Transient-Party,220,2017,35,27,0,0
ESP,Online TA,August,No Deposit     ,Transient,102,2017,34,21,1,0
PRT,Online TA,August,No Deposit     ,Transient,106,2017,34,21,0,0
GBR,Direct,August,No Deposit     ,Transient,43,2017,34,24,0,0
IRL,Direct,August,No Deposit     ,Transient,218,2017,34,22,0,0
ESP,Online TA,August,No Deposit     ,Transient,25,2017,34,22,1,0
POL,Offline TA/TO,August,No Deposit     ,Contract,261,2017,34,24,0,0
ESP,Online TA,August,No Deposit     ,Transient,13,2017,34,26,0,0
GBR,Online TA,August,No Deposit     ,Transient,11,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,20,2017,34,21,0,0
ESP,Online TA,August,No Deposit     ,Transient-Party,22,2017,34,25,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,3,2017,35,27,0,0
GBR,Online TA,August,No Deposit     ,Transient,58,2017,34,25,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,3,2017,35,27,0,0
ESP,Online TA,August,No Deposit     ,Transient,6,2017,34,24,0,0
PAK,Online TA,August,No Deposit     ,Transient-Party,2,2017,34,25,1,0
ESP,Direct,August,No Deposit     ,Transient,203,2017,34,21,0,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,35,27,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,220,2017,35,27,0,0
USA,Online TA,August,No Deposit     ,Transient,49,2017,34,25,0,0
ESP,Online TA,August,No Deposit     ,Transient-Party,22,2017,34,25,0,0
USA,Online TA,August,No Deposit     ,Transient,30,2017,34,26,1,0
IRL,Offline TA/TO,August,No Deposit     ,Contract,136,2017,34,21,0,0
ESP,Direct,August,No Deposit     ,Transient,27,2017,34,21,1,0
GBR,Offline TA/TO,August,No Deposit     ,Group,126,2017,34,21,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,3,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,5,2017,34,24,0,0
PRT,Online TA,August,No Deposit     ,Transient,333,2017,34,24,0,0
CHE,Direct,August,No Deposit     ,Transient,0,2017,35,27,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,199,2017,33,18,0,0
DEU,Direct,August,No Deposit     ,Transient,30,2017,34,23,1,0
BRA,Online TA,August,No Deposit     ,Transient-Party,2,2017,34,25,0,0
GBR,Online TA,August,No Deposit     ,Transient,221,2017,34,21,0,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,36,2017,34,25,0,0
PRT,Online TA,August,No Deposit     ,Transient,34,2017,34,22,0,0
PRT,Online TA,August,No Deposit     ,Transient,189,2017,34,21,0,0
PRT,Online TA,August,No Deposit     ,Transient,315,2017,34,21,1,0
ITA,Offline TA/TO,August,No Deposit     ,Transient-Party,220,2017,35,27,0,0
DEU,Online TA,August,No Deposit     ,Transient,2,2017,34,25,0,0
GBR,Offline TA/TO,August,No Deposit     ,Group,29,2017,34,20,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,315,2017,33,14,0,0
PRT,Direct,August,No Deposit     ,Transient,48,2017,34,21,0,0
POL,Online TA,August,No Deposit     ,Transient,306,2017,34,24,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,129,2017,34,20,0,0
ROU,Online TA,August,No Deposit     ,Transient,4,2017,34,25,0,0
PRT,Online TA,August,No Deposit     ,Transient,0,2017,34,25,0,0
PRT,Online TA,August,No Deposit     ,Transient,24,2017,34,22,1,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,305,2017,35,27,0,1
PRT,Offline TA/TO,August,No Deposit     ,Transient,184,2017,34,21,0,0
ESP,Online TA,August,No Deposit     ,Transient,220,2017,34,22,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,324,2017,33,13,0,0
ESP,Online TA,August,No Deposit     ,Transient,7,2017,34,25,0,0
ESP,Online TA,August,No Deposit     ,Transient,58,2017,34,23,0,0
IRL,Online TA,August,No Deposit     ,Transient,204,2017,34,23,0,0
IRL,Online TA,August,No Deposit     ,Transient,60,2017,34,25,0,0
IRL,Online TA,August,No Deposit     ,Transient,62,2017,34,20,0,0
ESP,Online TA,August,No Deposit     ,Transient,4,2017,34,25,0,0
PRT,Online TA,August,No Deposit     ,Transient,83,2017,34,20,1,0
ESP,Online TA,August,No Deposit     ,Transient,327,2017,33,17,1,0
ROU,Offline TA/TO,August,No Deposit     ,Transient,200,2017,34,22,1,0
PRT,Offline TA/TO,August,No Deposit     ,Group,205,2017,33,19,1,0
USA,Direct,August,No Deposit     ,Transient,64,2017,34,23,0,0
PRT,Online TA,August,No Deposit     ,Transient,227,2017,34,20,0,0
PRT,Direct,August,No Deposit     ,Transient,220,2017,34,23,0,0
ITA,Online TA,August,No Deposit     ,Transient,0,2017,34,26,0,0
IRL,Online TA,August,No Deposit     ,Transient,26,2017,34,21,0,0
ESP,Online TA,August,No Deposit     ,Transient,42,2017,34,23,0,0
CHE,Online TA,August,No Deposit     ,Transient,207,2017,34,22,0,0
ROU,Offline TA/TO,August,No Deposit     ,Transient,31,2017,34,20,0,0
PRT,Online TA,August,No Deposit     ,Transient,296,2017,34,20,1,0
PRT,Online TA,August,No Deposit     ,Transient,2,2017,34,25,0,0
ITA,Online TA,August,No Deposit     ,Transient,71,2017,34,23,0,0
PRT,Direct,August,No Deposit     ,Transient,177,2017,33,19,1,0
PRT,Direct,August,No Deposit     ,Transient,33,2017,34,24,1,0
ESP,Online TA,August,No Deposit     ,Transient-Party,134,2017,34,22,0,0
PRT,Direct,August,No Deposit     ,Transient,273,2017,34,23,1,0
PRT,Direct,August,No Deposit     ,Transient,192,2017,33,17,1,0
PRT,Direct,August,No Deposit     ,Transient,0,2017,34,26,0,0
GBR,Direct,August,No Deposit     ,Transient,263,2017,33,19,0,0
PRT,Online TA,August,No Deposit     ,Transient,23,2017,34,25,0,0
ESP,Online TA,August,No Deposit     ,Transient-Party,134,2017,34,22,0,0
PRT,Online TA,August,No Deposit     ,Transient,0,2017,34,26,0,0
LTU,Online TA,August,No Deposit     ,Transient,12,2017,34,22,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,12,2017,33,13,0,0
ESP,Online TA,August,No Deposit     ,Transient,5,2017,34,25,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,191,2017,34,20,0,0
PRT,Direct,August,No Deposit     ,Transient,209,2017,34,21,1,0
PRT,Online TA,August,No Deposit     ,Transient,203,2017,33,19,0,0
ESP,Online TA,August,No Deposit     ,Transient-Party,57,2017,33,19,0,0
PRT,Direct,August,No Deposit     ,Transient-Party,215,2017,33,19,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,122,2017,33,19,0,0
PRT,Direct,August,No Deposit     ,Transient,36,2017,33,16,0,0
ESP,Online TA,August,No Deposit     ,Transient,17,2017,34,24,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,204,2017,33,16,0,0
